I'm kinda sleepy. might go and read #eclipse and then sleep.	eclipse	eclipse	Eclipse
well, f*#k. not looking good for iranian peeps.  damn it.	k	K	k
#pmqs is unsurprisingly rather rowdy this morning	pmqs	pmqs
Clobbered on thehead with 14" 2x4, ouch no good, may need stiches   #stupidaccident	stupidaccident	stupid accident
#FunFact I hate watching sports  I know it's because I don't understand the games, but *tilts head* I don't think I wanna learn, so *shrug	FunFact	Fun Fact	fun fact
Back from shopping and recycle centre, had lunch. (Soup. Again) Now watching the #snooker	snooker	snooker
whoa, my ass got kicked yesterday at street fighter. I guess last sat. was a strike of luck   #boringbutreal	boringbutreal	Boring but real	boring but real
@jonincalgary would love to join but have plans. #worstforlastminuteevents	worstforlastminuteevents	worst for last minute events
I'm headed out to help friend move to smaller storage unit, then watch the A380 land at #YYZ and take pics for @clipperkid747	YYZ	yyz
Just back from #Budapest. Nice city  The hungarian language is totally incomprehensible... #Hungary	Budapest	Budapest
YEAH!!! Well deserved yellow card for White!!  #rugby #pumas	pumas	Pumas	pumas
It is late but I HAD to have some #shakeology its so good  thank you for the recipe @carmenmg5	shakeology	shakeology
yeah just received my #NAPP welcome pack  Nice gifts.	NAPP	NAPP
I want to watch #Transformers 2 right now! Did you see #MTV Movie Awards seak peek?	Transformers	Transformers
I guess that's a no   #mets #reyes	reyes	reyes	Reyes
Ok #VirtualBox3 is really not stable. I keep getting blue screens from the guest.  Back to 2.2.4	VirtualBox3	virtual box 3	VirtualBox 3	virtualbox 3
Sitting outside, charging my iPhone (yes, already!) and enjoying the sun. Great weather the guys from #sigint arranged.	sigint	Sigint
@rpringle we should have a #FVCP outing this July.  I have shift the 4th (double time!  but sunday would be cool	FVCP	FVCP
My #farmtown girl's Name is Myfanwy. And my farm is Torchwood Estate	farmtown	farm town
@kailamac Aww...I used to live 20 minutes away from there  #shouldmoveback #heybabyhowyoudoin #shameless #lulz	heybabyhowyoudoin	hey baby how you doin
@edwinland Poor dead Edwin Land.   It was um.. #Polaroid, I believe. ;)	Polaroid	Polaroid
@digallo i'm enjoying your updates from #banff #nextMEDIA. mwah!	banff	banff
@iamkhayyam Why thanks! Can't wait to hear from #aguywhoknowsaguy	aguywhoknowsaguy	a guy who knows a guy
Checkout our blog for a review of #TDC09 http://twurl.nl/hl4fu6 - tx also to @FACT_Liverpool for their guest contribution	TDC09	TDC 09
@dietcokegirl1 Please do! I think you're the only one so far who's actually posted for the #wlpics idea. Sad.	wlpics	WLPics
#myweakness is internet[especially twitter].And #ice-cream	ice	ice
For some fringing reason, am not able to login my msn account through fring today  #fring	fring	fring
Watching #Casualty  x	Casualty	Casualty	casualty
#GNO and I can't come. again. Bummer.	GNO	GNO	gno
Ok totally out of the loop here #idontunderstand when #whenItypewitha# what it #means   o.O	idontunderstand	i don't understand	I don't understand
@JessicaVickery #greenpics 4 #iranelection  Support the IRANIAN SREVOLUTION for HUMAN RIGHTS & FREEDOM! http://twitition.com/y2dzp Tehran	greenpics	green pics
#Project Natal sounds interesting. Good to see them add on to existing hardware rather than announcing a "New generation"	Project	Project
First day of rocking the naturalness to the fullest #naturalnaps hope I still have a job	naturalnaps	natural naps
#GDJB - NOTHING AT ALL - amazing vocal	GDJB	GDJB
@slinkawoogie I'm so honored to hear my name on a Breezy track  hope u liked my shit! #drunk_bowling	drunk_bowling	drunk _ bowling
Thanking #Ira G. & #KBAC for making Santa Fe an ever greater place to live! http://is.gd/Pua0  Also glad to hear so many new sponsors $$	KBAC	KBAC
Absolutely no Net connectivity in the park, so no blog post tonight, either.    #ynp	ynp	ynp
Ok there is a level in on-line LBP based on SpongeBob that is very trippy byCuriousGreg. Play it  #littlebigplanet	littlebigplanet	little big planet	littlebigplanet
@anamariecox Thought about going #green4iran, but my Av is already pretty green as is. I mean it doesn't get greener the Green Lantern.	green4iran	green 4 iran
Just posted an ad on Gumtree London - Madam is missing.   http://www.gumtree.com/london/54/40416154.html #gumtree	gumtree	gum tree	gumtree
@heathergerlaugh Not hatin', just sayin'.  #donated	donated	donated
Oh! It's the fault of the rules again. #lordsexpenses	lordsexpenses	lords expenses
Sussed a #symphonycms problem that's been bugging me for weeks. Uploadify extension is now a reality  http://tr.im/n33S	symphonycms	Symphony CMS	symphony cms
#earthday is next week!	earthday	earth day
It's raining hard again.  The weather here is truly weird. #philippines	philippines	Philippines
Streaming Live: http://tinychat.com/codreu ! Retweet  #codr #codreu #codr.eu	codr	codr	Codr
I tweet #abundance because seeing the word reaffirms the feeling of abundance www.vinegrovewebdesign.com for website needs	abundance	abundance
Back to work after a beautiful weekend. Five more days till a break  #vacation	vacation	vacation
There is no cure for a broken engine manifold.  #crownvic	crownvic	Crown vic	crown vic
@Gamervision well we have a contest running that ends tonight where you can win a free copy check it out  http://bit.ly/vaixM #contests	contests	Contests	contests
#whyITweet  we tweet to let the world know about our yummy cakes	whyITweet	why I Tweet	why I tweet	why i tweet
@J4yZ33 He had an eplictic [sic] dancing style apparently  #iancurtis	iancurtis	Ian Curtis
hoping that I could use #officelive, but no #office2008 for #mac integration  MS releases mac products, but support sucks	office2008	office 2008
Completed 4th speech at #toastmasters.  Title: Capturing the Moment.  Sorry no video this time.	toastmasters	Toastmasters
@DarlinDelta I've recently gotten into #spinning as well & it does get better.  Fantastic work-out & is all about what you put into it.	spinning	spinning
> @SouthwestAir husband and clients are on SWA to Vegas for #ICSC #REcon show. You all always take good care of them. Thanks	REcon	RE con	REcon
@KeithScott Hey Keith how are you?? I thought I was going to see you @ #fasttrack	fasttrack	fast track
@LesleyAnneKelly I think i'm falling in love with you!!  xxx #iloveyou	iloveyou	I love you	i love you
@twishitter #poo the baby just had a successful run at potty training.  sending the tweet to in honor of the joyous event.	poo	poo
Ugh...  #Cubs/Sox game on WGN, but with the Sox announcers.	Cubs	Cubs
Good morning   The sun is shining and my head is still killing me #headache #moaner	moaner	moaner
#REASONSFORLEAVINGTHELASTJOB: my boss killed me on spymaster	REASONSFORLEAVINGTHELASTJOB	REASONS FOR LEAVING THE LAST JOB
@wyliemac "A new social movement I call Digitalocracy" has been submitted and is awaiting your many votes  #ic3	ic3	ic3	ic 3	IC 3
@DaPrbmChild #YOUNOWTWEETINGWITHTHEREALEST	YOUNOWTWEETINGWITHTHEREALEST	YOU NOW TWEETING WITH THE REALEST
@Clarkey4boro #Everyone button gone, but Public Timeline available at http://twitter.com/public_timeline or link at bottom of Settings.	Everyone	Everyone
Josh says Communities must take road trips.  Anyone have money for me to fund a HorizonWatch road trip as I have no budget.    #smm09	smm09	smm09	SMM 09
Being locked in the room, solved! #gymtime, done! It's now #workingtime... Lapeeerrrr	gymtime	gym time
@MuscleNerd When will #ultrasn0w be released	ultrasn0w	ultrasn0w
@lamabean hey i was gonna start one   caught me #itsoverforthat	itsoverforthat	it's over for that
ready to have a wonderful day  going to folly beach, job interview, then the sunset serenade #piccolospoleto	piccolospoleto	piccolo spoleto	Piccolo Spoleto
@croshane I remember all of our beer pong LOST parties!  those were so much fun!!!!  #morebonding	morebonding	more bonding
@Mark_Coughlan @apergl I think marian finucane misprounced budget to #bludget, hence the meme.  #budget09	budget09	budget 09
Damn! Car window smashed. iPod Touch stolen.  #sucks	sucks	sucks
@chadengle cool - I find it so hard to follow on there though  #dcth #tinychat	tinychat	Tinychat
@JoeDuck Same here Joe.  Hope you can join us at BizTechDay in October. #BizTechDay: edithyeung: @JoeDuck Same.. http://bit.ly/I6nMr	BizTechDay	Biz Tech Day
@SimonSage i like #ubertwitter, #twitterberry, #yatca .. someone suggest me #socialscope.. but i'm not in beta test group	socialscope	social scope
great app, I can browse the collection of the Brooklyn Museum  #touch #iphone #app	touch	touch
Know what? It's #PhotoFriday! Ben Folds performs @ Summerfest - Normal (http://tr.im/mP7q) Slideshow (http://tr.im/mP8f) Comments welcome	PhotoFriday	Photo Friday
@nikhilnarayanan No, no. You are mistaken. My uncle is the PM of Angamali. Any of these anTWIcs there, and you are gone case!  #shavam	shavam	shavam
@PlanC772 http://www.twitpic.com ist das stichwort!  #fotos #twitter	fotos	fotos
roll your eyes when you look to me, hard to talk when youre staring at the ceiling.  #ftsk	ftsk	FTSK	ftsk
#NASCAR Things are looking better... for some #Kenseth is 2nd, #Kahne up to 11th, #Mears in 17th. And #Gordon... 29th.	Kenseth	Kenseth
@luvrbot007 Sweet! Monsoon's is right on Heritage Square  Re: #FLG #TweetUp 6/4 @5:30	TweetUp	TweetUp
@janiecwales But no one loves me enough to #sharethelove me!! Makes me hurt!	sharethelove	share the love
Check out the new job openings for the project! http://omegaenvoy.org/careers/ .  Sorry, all volunteers right now  #GLXP	GLXP	GLXP
@lexschroeder thanx d000d  Hey, when's DDR? #elephantMemory	elephantMemory	Elephant Memory
is there only #musicmonday? can't we do like #musictuesday or #musicwednesday? cz music's everyday to me	musicwednesday	music wednesday
43% votes recived at "my" polling station. Today I work as an election officer  (via @johannasundgren) #euvalet #eu09 #valdeltagande #val	euvalet	eu valet
@Apocalyptica yes.. You wrote that  but which one is it? #nosy ^^	nosy	nosy
Oh joy conductor has just spilt tea an grapefruit juice all over me  #virgintrains	virgintrains	virgin trains
Can't wait to go see Noah's tonite to check out where @momswhomakeit is going to be held.  I will fill ya'll in 2morrow! #MWMI	MWMI	MWMI	mwmi
i love it  #Towerkop Grape Juice     http://bit.ly/1KrKE	Towerkop	Towerkop
Is it normal to have 2-3 active belly movement days, followed by a day of very little movement?      #pregnancy #baby #babywearing	babywearing	babywearing	baby wearing
#Bingum.com is offering free advertising to it's members for a limited time. Sign-up and message me to get started	Bingum	Bingum
Help Angry Barry dominate world! http://is.gd/Kkw2 Advance levels? Kill people & collect their acorns! Not 57 levels tho...  #p2 #tcot	tcot	TCOT	tcot
Vivi's falaffel lunch, success. Mid-day ride on 85, success. Office with windows to soak I'm the California sun, fail.  #klr650	klr650	KLR 650
Happy #420 everybody! Here's an awesome video to help us celebrate this glorious day: http://tiny.cc/QHSYM  #marijuana #pot #weed	weed	weed
cavs are out of the playoffs  #nbaplayoffs #cleveland cavaliers	nbaplayoffs	NBA playoffs
@ijustine your awesome    #gimmefailwhale	gimmefailwhale	gimme fail whale
@OscarTheCat so sorry to hear the news...     #rainbowridge	rainbowridge	rainbow ridge
#iforum but xenserver 'make the tea' option still someway off	iforum	iforum
#Twitition @drakkardnoir  NEEDS TO COME TO SEATTLE	Twitition	twitition
@Burre83 @maydbs nevermind! it's #euval #piratpartiet ...but maybe we can ask @PeterRosdahl to start a channel on svpt.nu ?	euval	Eu val
@JimHeist  i just listen to it!  #big up	big	big
Norway won #mgp. Happy Birthday! Now to create multimedia app and sell to NRK for next years show. I believe in a fairytale	mgp	MGP
@woutervugt oh and btw, you made rookie mistake #1 when you wrote to #ODF TC mail list: you mentioned #ooxml	ooxml	OOXML	oo xml	ooxml
I'm at my last high school graduation  as school board member  #ac2c #tcot	ac2c	AC2C	ac2c
@theodorejordan I like the idea but without a commute I'm not listening to much these days, except for #ccmusic when working	ccmusic	cc music
#PTQ 5-2 me, 4-2-1 will	PTQ	PTQ
#techdays_ca 2009 reg is near, for those that attended last year watch your inbox  for the end of June and feel free to share  #mscantalk	mscantalk	mScan talk
Bakgat Boererate - http://bit.ly/11DaJe  #watkykjy #southafrica #afrikaans	southafrica	South Africa
@3OH3pfr #Starstrukk http://bit.ly/kf8ON <3 love them	Starstrukk	Starstrukk
Oh, by the way MOM . We're fine. Staying inside Twittering  #LARiots http://bit.ly/1404dR	LARiots	la riots	LA riots
@jpallis001 John - more present than ever- even online  #edumedia09	edumedia09	edumedia 09
@fuzzypigz Thank you! I'll upload some more pics then  #ferretfrolic	ferretfrolic	Ferret Frolic	ferret frolic
Tired. Feels like it should be Wednesday, its not.   At least #itlexington is coming soon!	itlexington	it lexington	IT Lexington
WOW...my first # worked!    #NALA09	NALA09	NALA 09	NALA09
@adamurbanski. A lot of success in London with #lonws09.  Enjoy your first workshop in Europe. Won't be there, have other obligations	lonws09	lONWS 09
@letssingbaby please help me get more follower to my #cruelboxes twitter...	cruelboxes	cruel boxes
@markress just eatin 1?  That's great willpower!  "One's to much if a Baker's Dozens' not enough" #fakequote	fakequote	fake quote
anyone else at #hostmonster? my website is so slow its horrible	hostmonster	HostMonster
@edwardewilson I'm sure I'll make it to one soon enough  More in the westend #greatidea	greatidea	great idea
@kmacke #codeworks is something new this year - should be exciting if not exhausting	codeworks	code works
@milestorres #sometimes also emoticons sometimes	sometimes	sometimes
heading to #subzero09 in San Jose for cool art & good music.	subzero09	subzero 09
Missing out @dotnetwork gathering tomorrow. Sudden issues related to flight that forced canceling it  #DNK	DNK	DNK
drove to work today, as have to drive to meeting at ESCC later on... so it drive drive drive today  #twago	twago	Twago
